title	year	director	cast	genre	notes
After Dark in Central Park	1900				
Boarding School Girls' Pajama Parade	1900				
Buffalo Bill's Wild West Parad	1900				
Caught	1900				
Clowns Spinning Hats	1900				
Capture of Boer Battery by British	1900	James H. White		Short documentary	
The Enchanted Drawing	1900	J. Stuart Blackton			
Family Troubles	1900				
Feeding Sea Lions	1900		Paul Boyton		
How to Make a Fat Wife Out of Two Lean Ones	1900			Comedy	
New Life Rescue	1900				
New Morning Bath	1900				
"Searching Ruins on Broadway, Galveston, for Dead Bodies"	1900				
The Tribulations of an Amateur Photographer	1900				
Trouble in Hogan's Alley	1900			Comedy	
Two Old Sparks	1900			Short	Produced by Siegmund Lubin
"The Wonder, Ching Ling Foo"	1900		Ching Ling Foo	Short	Produced by Siegmund Lubin
Watermelon Contest	1900	James H. White		Short	
Acrobats in Cairo	1901				
An Affair of Honor	1901				
Another Job for the Undertaker	1901	Edwin Stanton Porter			
Arrival of Tongkin Train	1901				
The Artist's Dilemma	1901	Edwin Stanton Porter			
Band and Battalion of the U.S. Indian School	1901				
Barnum and Bailey's Circus	1901				
Beef Extract Room	1901				
Boxing in Barrels	1901				
Branding Hams	1901				
Buffalo Street Parade	1901				
A Busy Corner at Armour's	1901				
"The Bund, Shanghai"	1901				
"Circular Panorama of the Base of the Electric Tower, Ending Looking Down the Mall"	1901				
Circular Panorama of the Electric Tower and Pond	1901				
Circular Panorama of the Esplanade with the Electric Tower in the Background	1901				
"Coaling a Steamer, Nagasaki Bay, Japan"	1901				
Convention of Railroad Passengers Agents	1901				
The Cook's Revenge	1901				
"Cornell-Columbia-University of Pennsylvania Boat Race at Ithaca, N.Y., Showing Lehigh Valley Observation Train"	1901				
Couchee Dance on the Midway	1901				
The Donkey Party	1901				
The Finish of Bridget McKeen	1901				
Follow the Leader	1901				
The Fraudulent Beggar	1901				
Fun at a Children's Party	1901				
A Good Joke	1901				
The Gordon Sisters Boxing	1901				
"Grand Entry, Indian Congress"	1901				
Happy Hooligan April-Fooled	1901				
Happy Hooligan Surprised	1901				
Harbor of Shanghai	1901				
A Hold-Up	1901				
"Ice-Boat Racing at Redbank, N.J."	1901				
Indians No. 1	1901				
"Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901"	1901				
A Joke on Grandma	1901				
Kansas Saloon Smashers	1901				
"Launching of the New Battleship 'Ohio' at San Francisco, Cal. When President McKinley Was There"	1901				
Laura Comstock's Bag-Punching Dog	1901				
The Life of a Fireman	1901				
Love by the Light of the Moon	1901				
The Martyred Presidents	1901				
Midway Dance	1901				
Miles Canyon Tramway	1901				
Montreal Fire Department on Runners	1901				
Mounted Police Charge	1901				
The Old Maid Having Her Picture Taken	1901				
Opening of the Pan-American Exposition Showing Vice President Roosevelt Leading the Procession	1901				
Pan-American Exposition by Night	1901				
"Panorama of the Exposition, No. 1"	1901				
"Panorama of the Exposition, No. 2"	1901				
Panoramic View of the Fleet After Yacht Race	1901				
Panoramic View of the Temple of Music and Esplanade	1901				
"Panoramic View, Asheville, N.C."	1901				
Le Petit chaperon rouge	1901				
Photographing the Audience	1901				
"Pie, Tramp and the Bulldog"	1901				
President McKinley and Escort Going to the Capitol	1901	Thomas Edison			
President McKinley Taking the Oath	1901	Thomas Edison			
President McKinley's Speech at the Pan-American Exposition	1901				
The Queen's Funeral	1901				
Le R?ve de No?l	1901				
Rocking Gold in the Klondike	1901				
Ruhlin in His Training Quarters	1901				
"Shad Fishing at Gloucester, N.J."	1901				
"Terrible Teddy, the Grizzly King"	1901				
The Tramp's Dream	1901				
Tramp's Nap Interrupted	1901				
Trapeze Disrobing Act	1901				
A Trip Around the Pan-American Exposition	1901				
Turkish Dance	1901				
Twelve in a Barrel	1901				
Two Rubes at the Theatre	1901				
Upper Falls of the Yellowstone	1901				
"Washing Gold on 20 Above Hunker, Klondike"	1901				
Wedding Procession in Cairo	1901				
Why Mr. Nation Wants a Divorce	1901				
"Wonderful Trick Donkey, The"	1901				
"Yacht Race Fleet Following the Committee Boat 'Navigator' Oct. 4th, The"	1901				
You Can't Lose Your Mother-in-Law	1901				
Arrival of Prince Henry (of Prussia) and President Roosevelt at Shooter's Island (1902)	1902			News short	
"The Burlesque Suicide, No. 2"	1902	"George S. Fleming, Edwin S. Porter"			
Burning of Durland's Riding Academy	1902	Edwin S. Porter		Documentary short	
The Interrupted Bathers	1902	"George S. Fleming, Edwin S. Porter"		Comedy short	
Jack and the Beanstalk	1902	"George S. Fleming, Edwin S. Porter"			
Who Said Watermelon?	1902			Comedy short	
"After Dark; or, the Policeman and His Lantern"	1903				
Alice in Wonderland	1903	Cecil Hepworth	May Clark		
An Up-to-Date Studio	1903				
A Visit to the Zoo	1903				
At Work in a Peat Bog	1903				
Automobile Explosion	1903				
The Ascent of Mount Blanc	1903				
Bicycle Dive	1903				
Bloodhounds Tracking a Convict	1903				
Buying a Baby	1903				
Cliff Scenery at the Fabbins	1903				
"Close Quarters, with a Notion of the Motion of the Ocean"	1903				
Cruelty on the High Seas	1903				
A Coach Drive from Glengariffe to Kenmore	1903				
Discovered Through an Opera Glass	1903				
A Drove of Wild Welsh Mountain Ponies	1903				
The Delhi Camp Railway	1903				
DeVoy's Revolving Ladder Act	1903				
The Deserter	1903				
The Effects of a Trolley Car Collision	1903				
Firemen to the Rescue	1903				
The Goose Takes a Trolley Ride	1903				
Egyptian Fakir with Dancing Monkey	1903				
Electrocuting an Elephant	1903	"Edwin S. Porter or Jacob Blair Smith,[1]"		Documentary	
English Barnyard Scene	1903				
Every Day Is Sunshine When the Heart Beats True	1903				
Fire!	1903				
Fife Getting Instructions from Committee	1903				
Fun on Board a Fishing Smack	1903				
The Great Train Robbery	1903	Edwin S. Porter		Western	Thought to be the first Western.
Hop Picking	1903				
How to Shut Up a Quarrelsome Wife	1903				
Light Heavyweight Championship Contest Between Root and Gardner	1903				
Little Tich and His Funny Feet	1903				
Murder Scene from 'King of the Detectives'	1903				
Moses in the Bullrushes	1903				
Murphy's Wake	1903				
New York Harbor Police Boat Patrol Capturing Pirates	1903				
Nicholas Nickleby	1903	Alf Collins	William Carrington		
Old Irish Cabin	1903				
"On the Bow River Horse Ranch at Cochrane, North West Territory"	1903				
Only a Soldier Boy	1903				
Our New Cook	1903				
Over the Garden Wall	1903				
Panorama of the Lakes of Killarney from Hotel	1903				
"Passengers Embarking from S.S. Augusta Victoria, at Beyrouth"	1903				
"The Pigeons, Place St. Marc, Venice"	1903				
Pittsburgh Fire Department in Full Run	1903				
Polo Match for the Championship at Hurlingham	1903				
The Puzzled Bather and His Animated Clothes	1903				
Quarrelsome Neighbours	1903				
Railway Ride in the Alps	1903				
Reproduction of the Corbett-McGovern Fight	1903				
Rock of Ages	1903				
"The Runaway Match, or Marriage by Motor"	1903				
Saturday Shopping	1903				
Scene in Canada -- Logging at Bear Creek	1903				
Scene in Canada -- Spearing Salmon in a Mountain Stream	1903				
A Search for Evidence	1903				
Sensational Hurdle Race	1903				
A Shocking Accident	1903				
S.S. St. Louis	1903				
Street Car Chivalry	1903				
A Substantial Ghost	1903				
The Tragical Tale of a Belated Letter	1903				
The Tramp's First Bath	1903				
A Trip Through the Gap of Dunloe	1903				
A Trip to the Giant's Causeway	1903				
Trouble in Hogan's Alley	1903				
"Trout Fishing, Landing Three Pounder"	1903				
True Love Never Runs Smooth	1903				
Turning the Tables	1903				
"Two Little Vagabonds; or, The Pugilistic Parson"	1903				
The Unexpected Bath	1903				
Wait Till Jack Comes Home	1903				
What Happened in the Tunnel	1903				
Wiring Pike in a Mill Stream	1903				
The Workman's Paradise	1903				
Alligator Farm	1904			Documentary	"Shot during the summer of 1903 at Atlantic City, New Jersey"
The Automobile Race	1904				
The Chicago Fire	1904			Live documentary	Captured a fire in Chicago filming firefighters on the roofs of buildings throwing streams of water on the burning structure with black smoke
The Child Stealers	1904				
Decoyed	1904				
A Ferry in the Far East	1904				
Fording a Stream	1904				
The Great Baltimore Fire	1904				
High Diving and Reverse	1904				
Hurdle Jumping	1904				
An Intelligent Elephant	1904				
The Monkey Bicyclist	1904				
"Monkey, Dog and Pony Circus"	1904				
Nervy Nat Kisses the Bride	1904				
A Nigger in the Woodpile	1904				
Parsifal	1904				
The Lover's Ruse	1904				
A Race for a Kiss	1904				
Raid on a Coiner's Den	1904				
Revenge!	1904				
A Railway Tragedy	1904				
Scarecrow Pump	1904	Edwin Stanton Porter		Comedy	
"The Strenuous Life; or, Anti-Race Suicide"	1904	Edwin S. Porter		Comedy	
The Suburbanite	1904	Wallace McCutcheon		Comedy	
"Westinghouse Works, 1904"	1904				
"Adventures of Sherlock Holmes; or, Held for Ransom"	1905	J. Stuart Blackton			
Airy Fairy Lillian Tries on Her New Corsets	1905				
A Ballroom Tragedy	1905				
Burglar Bill	1905				
Coney Island at Night	1905				
"A Dog Lost, Strayed or Stolen"	1905				
"Hippodrome Races, Dreamland, Coney Island"	1905				
Escape from Sing Sing	1905				
"The Green Goods Man; or, Josiah and Samanthy's Experience with the Original 'American Confidence Game'"	1905				
The Great Jewel Mystery	1905				
I.B. Dam and the Whole Dam Family	1905				
The Kleptomaniac	1905				
Impersonation of Britt-Nelson Fight	1905				
New York Subway	1905				
The Nihilists	1905				
"Moving Day; or, No Children Allowed"	1905				
"License No. 13; or, The Hoodoo Automobile"	1905				
Life of an American Policeman	1905				
The Little Train Robbery	1905	Edwin Stanton Porter			
The Night Before Christmas	1905	Edwin Stanton Porter			
A Kentucky Feud	1905				
Peeping Tom in the Dressing Room	1905				
The Newsboy	1905				
A Policeman's Love Affair	1905				
The Rat Trap Pickpocket Detector	1905			Comedy	
Reuben in the Opium Joint	1905				
Raffles the Dog	1905				
Raffles the Amateur Cracksman	1905	Broncho Billy Anderson		Adventure/Romance	
The Seven Ages	1905				
The Servant Girl Problem	1905				
The Train Wreckers	1905				
"Tom, Tom, the Piper's Son"	1905				
Watermelon Patch	1905				
The Whole Dam Family and the Dam Dog	1905				
The Vanderbilt Auto Race	1905				
The Automobile Thieves	1906	J. Stuart Blackton	"J. Stuart Blackton, Florence Lawrence"	Short crime drama	"Released 10 November 1906. About a young couple conducting a series of robberies, followed by a chase, in which they are shot."
Dream of a Rarebit Fiend	1906	Wallace McCutcheon and Edwin S. Porter		Short	
From Leadville to Aspen: A Hold-Up in the Rockies	1906	Francis J. Marion and Wallace McCutcheon		Short action/crime western	
Humorous Phases of Funny Faces	1906	J. Stuart Blackton	J. Stuart Blackton	Short animated cartoon	
Kathleen Mavourneen	1906	Edwin S. Porter		Short film	
A Trip Down Market Street	1906	Miles Brothers		Short film	
Waiting at the Church	1906	Edwin S. Porter		Short film	
"Amateur Night; or, Get the Hook"	1907				
Ben-Hur	1907	Sidney Olcott	William S. Hart	Historical	
Daniel Boone	1907	Wallace McCutcheon and Ediwin S. Porter	"William Craven, Florence Lawrence"	Biographical	
How Brown Saw the Baseball Game	1907	Unknown	Unknown	Comedy	
Laughing Gas	1907	Edwin Stanton Porter	"Bertha Regustus, Edward Boulden"	Comedy	
Terrible Ted	1907	Joseph A. Golden		Short comedy	
The Tired Tailor's Dream	1907	Joseph A. Golden		Short comedy	
The Adventures of Dollie	1908	D. W. Griffith		Drama	Griffith's first film
Antony and Cleopatra	1908	J. Stuart Blackton		Shakespeare	
Balked at the Altar	1908	D. W. Griffith		comedy	
The Black Viper	1908	D. W. Griffith	D. W. Griffith	Drama	
The Call of the Wild	1908	D. W. Griffith		adventure	
A Christmas Carol	1908		Tom Ricketts	Drama	
Dr. Jekyll and Mr. Hyde	1908	Otis Turner		Horror films	Lost film
The Fairylogue and Radio-Plays	1908	"Francis Boggs, Otis Turner"		Fantasy	Lost film
The Fight for Freedom	1908	D. W. Griffith		Western	
Hamlet	1908	Henri Desfontaines	Henri Desfontaines	Shakespeare	
Macbeth	1908	J. Stuart Blackton		Shakespeare	
Money Mad	1908	D. W. Griffith		crime	
The Red Man and the Child	1908	D. W. Griffith		Western	
Romeo and Juliet	1908	J. Stuart Blackton		Shakespeare	
The Taming of the Shrew	1908	D. W. Griffith		Shakespeare	
The Tavern Keeper's Daughter	1908	D. W. Griffith		Action	
One Touch of Nature	1909			"Short, Drama"	
Cure for Bashfulness	1909				
A Sister's Love: A Tale of the Franco-Prussian War	1909				
A Sister's Love	1909				
The Maniac Cook	1909				
The Haunted Lounge	1909				
The Tenderfoot	1909				
Mrs. Jones Entertains	1909				
The Honor of Thieves	1909				
Love Finds a Way	1909				
The Castaways	1909				
Where Is My Wandering Boy Tonight?	1909				
A Rural Elopement	1909				
The Sacrifice	1909				
The Criminal Hypnotist	1909				
Those Boys!	1909				
The Fascinating Mrs. Francis	1909				
Mr. Jones Has a Card Party	1909				
A Colonial Romance	1909				
Those Awful Hats	1909	D. W. Griffith	Mack Sennett	Comedy	
The Welcome Burglar[1]	1909				
The Love of the Pasha's Son: A Turkish Romance	1909				
The Cord of Life[1]	1909				
A B C's of the U.S.A.	1909				
The Girls and Daddy[1]	1909				
The Deacon's Love Letters	1909				
The Brahma Diamond	1909				
Edgar Allan Poe	1909				
A Wreath in Time	1909				
Tragic Love	1909				
"Jessie, the Stolen Child"	1909				
The Curtain Pole[1]	1909	D. W. Griffith	Mack Sennett	Comedy	
His Ward's Love	1909				
A Daughter of the Sun	1909				
The Honor of the Slums	1909				
Tag Day	1909				
The Hindoo Dagger	1909				
The Joneses Have Amateur Theatricals	1909				
"C.Q.D.; or, Saved by Wireless; a True Story of the Wreck of the Republic"	1909				
The Golden Louis	1909	D. W. Griffith		Drama	
The Politician's Love Story	1909				
At the Altar	1909	D. W. Griffith	Marion Leonard	Drama	
The Poor Musician	1909				
His Wife's Mother	1909				
The Prussian Spy	1909				
A Fool's Revenge	1909				
The Mad Miner	1909				
The Old Soldier's Story	1909				
The Wooden Leg	1909				
Adventures of a Drummer Boy	1909				
The Salvation Army Lass	1909				
Kenilworth	1909				
I Did It	1909				
The Lure of the Gown	1909				
The Road Agents	1909				
Boots and Saddles	1909				
The Voice of the Violin	1909				
The Cracker's Bride	1909				
A Brave Irish Lass	1909				
A Friend in the Enemy's Camp	1909				
And a Little Child Shall Lead Them	1909				
The Deception	1909				
Cohen at Coney Island	1909				
Cohen's Dream	1909				
The Energetic Street Cleaner	1909				
Midnight Disturbance	1909				
A Burglar's Mistake	1909				
King Lear	1909	J. Stuart Blackton and William V. Ranous	William V. Ranous		
Jones and His New Neighbors	1909				
The Medicine Bottle	1909				
A Drunkard's Reformation	1909	D. W. Griffith	Arthur V. Johnson	Drama	
The Road to the Heart	1909				
Trying to Get Arrested	1909				
The Life of Napoleon	1909				
Napoleon and the Empress Josephine	1909				
A Tale of the West	1909				
Abraham Lincoln's Clemency	1910	Theodore Wharton	Leopold Wharton		
As It Is In Life	1910	D.W. Griffith	"George Nichols, Gladys Egan, Mary Pickford"	Romantic drama	
A Christmas Carol	1910	J. Searle Dawley	"Marc McDermott, Charles Stanton Ogle"		
Frankenstein	1910	J. Searle Dawley	"Augustus Phillips, Charles Stanton Ogle, Mary Fuller"		First film adaptation of Mary Shelley's Frankenstein
The Fugitive	1910	D. W. Griffith	"Kate Bruce, Edward Dillon"	Drama	
Gentleman Joe	1910		Harry Carey		
"Hemlock Hoax, the Detective"	1910		Comedy		
The House with Closed Shutters	1910	D. W. Griffith	Henry B. Walthall	Drama	
In Old California	1910	D. W. Griffith	"Frank Powell, Arthur V. Johnson, Marion Leonard, Henry B. Walthall"	Melodrama	First movie shot in Hollywood
In the Border States	1910	D. W. Griffith	Charles West	Drama	
A Lad from Old Ireland	1910	Sidney Olcott	"Sidney Olcott, Gene Gauntier, Thomas O'Connor"	Drama	
Pocahontas	1910		"Anna Rosemond, George Barnes, Frank H. Crane"	Short fantasy	
Pride of the Range	1910	Francis Boggs	Tom Mix		First onscreen role for Hoot Gibson
Ramona	1910	D. W. Griffith	"Mary Pickford, Henry B. Walthall"	Drama	
Roosevelt in Africa	1910	Cherry Kearton	Theodore Roosevelt	Documentary	
Rose O'Salem-Town	1910	D. W. Griffith	Henry B. Walthall	Drama short	
The Sanitarium	1910		Fatty Arbuckle	Comedy	
The Two Brothers	1910	D. W. Griffith	Arthur V. Johnson	Western	
The Unchanging Sea	1910	D. W. Griffith	Arthur V. Johnson	Drama	
What the Daisy Said	1910	D. W. Griffith	"Clara T. Bracy, Mary Pickford, Mack Sennett"		
The Wonderful Wizard of Oz	1910	Otis Turner (unconfirmed)	Bebe Daniels		
Baseball and Bloomers	1911		"William Garwood, Marguerite Snow"	Silent sports	
The Black Arrow: A Tale of the Two Roses	1911	Oscar Apfel	"Charles Ogle, Natalie Jerome"	Drama	
Brown of Harvard	1911	Colin Campbell	Edgar G. Wynn	Drama	
Cally's Comet	1911		William Garwood		
The Coffin Ship	1911		William Garwood	Adventure	
The Colonel and the King	1911		"Marie Eline, William Garwood"	Drama	
Courting Across the Court	1911		William Garwood	Romantic Comedy	
The Cowboy and the Lady	1911		Alan Hale	Western	
Flames and Fortune	1911		"Marie Eline, William Garwood"	Drama	
For Her Sake	1911		William Garwood		
Her Awakening	1911	D. W. Griffith	"Mabel Normand, Harry Hyde"	Drama	
The Higher Law	1911	George Nichols	"William Garwood, James Cruze"	Drama	
David Copperfield	1911	Theodore Marston	"Marie Eline, Florence La Badie, Mignon Anderson, William Russell"	Drama	
The Last of the Mohicans	1911	Theodore Marston	James Cruze	Drama	
The New Superintendent	1911	Francis Boggs	Herbert Rawlinson	Drama	
The Pasha's Daughter	1911		William Garwood		
Princess Clementina	1911	William G.B. Barker	"H. B. Irving, Alice Young"	Adventure	
The Railroad Builder	1911		William Garwood		
The Smuggler	1911		William Garwood		
Sweet Memories	1911	Thomas H. Ince	"Mary Pickford, King Baggot"	Drama	
A Tale of Two Cities	1911	William J. Humphrey	"Maurice Costello, Florence Turner"		
That's Happiness	1911	George Nichols	"William Garwood, Bertha Blanchard"	Drama	
The Voice of the Child	1911	D. W. Griffith	Edwin August	Drama	
Won by Wireless	1911		William Garwood	Thriller	
All for a Girl	1912	Frederick A. Thomson	"Dorothy Kelly, Leah Baird"	Romantic comedy	
At the Foot of the Ladder	1912		"Mignon Anderson, William Garwood"	Romantic drama	
Aurora Floyd	1912	Theodore Marston	"William Garwood, Florence La Badie, Harry Benham"	Drama	
Baby Hands	1912		"James Cruze, Jean Darnell"	Drama	
The Bandit of Tropico	1912		"Harry von Meter, Vivian Rich"	Adventure	
A Battle of Wits	1912		"Tom Moore, Alice Joyce, Earle Foxe"	Drama	
The Belle of Bar-Z Ranch	1912	Tom Ricketts	"Harry von Meter, Vivian Rich"		
A Business Buccaneer	1912		"Tom Moore, Alice Joyce"	Comedy	
Charge of the Light Brigade	1912	J. Searle Dawley	"James Gordon, Richard Neill"	War	
Conductor 786	1912		"William Garwood, Riley Chamberlin, Jean Darnell"	Comedy	
The County Fair	1912		"Earle Foxe, Alice Joyce"	Drama	
The Cry of the Children	1912	George Nichols	"Marie Eline, Ethel Wright, James Cruze."	Drama	
The Deserter	1912	Thomas H. Ince	"Francis Ford, Ethel Grandin"		
Dr. Jekyll and Mr. Hyde	1912	Lucius Henderson	James Cruze	Horror	
Frankfurters and Quail	1912		William Garwood	Drama	
From the Manger to the Cross	1912	Sidney Olcott	Robert Henderson-Bland		
The Half-Breed's Way	1912		"Harry von Meter, Vivian Rich, George Beech"	Western	
His Only Son	1912	Jack Conway and Milton J. Fahrney	"Wallace Reid, Dorothy Davenport"	Western	
It Happened Thus	1912		"Charlotte Burton, Owen Moore"	Romantic drama	
The Land Beyond the Sunset	1912	Harold M. Shaw	"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Bigelow Cooper"		
A Leap for Love	1912		"Ethel Wright, Frank Hall Crane, Rodman Law"	Romantic drama	
The Little Girl Next Door	1912	Lucius J. Henderson	"William Garwood, Marguerite Snow"	Drama	
The Musketeers of Pig Alley	1912	D. W. Griffith	"Elmer Booth, Lillian Gish"	Drama	
A New Cure for Divorce	1912		"William Garwood, Mignon Anderson"	Drama	
The New York Hat	1912	David Wark Griffith	"Mary Pickford, Lionel Barrymore, Lillian Gish"		Based on a scenario by Anita Loos
Petticoat Camp	1912		"William Garwood, Florence La Badie"	Comedy	
Please Help the Pore	1912		"William Garwood, Riley Chamberlin, Mignon Anderson, Marie Eline"	Drama	
The Power of Melody	1912		"Harry von Meter, Vivian Rich, Eugenie Forde"	Drama	
Put Yourself in His Place	1912	Theodore Marston	"William Garwood, Marguerite Snow"	Drama	
Saved from the Titanic	1912	?tienne Arnaud	Dorothy Gibson		
A Six Cylinder Elopement	1912		"William Garwood, Riley Chamberlain, Marguerite Snow"	Romantic comedy	
Standing Room Only	1912		"William Garwood, Mignon Anderson"	Drama	
The Street Singer	1912		"Earle Foxe, Alice Joyce"	Drama	
The Tell-Tale Message	1912		"Earle Foxe, Hazel Neason, Stuart Holmes"	Drama	
The Thunderbolt	1912		"William Garwood, James Cruze, David Thompson"	Drama	
An Unseen Enemy	1912	D. W. Griffith	"Lillian Gish, Dorothy Gish"		First film to star the Gish sisters
The Voice of Conscience	1912		"Florence La Badie, Jean Darnell"	Drama	
What Happened to Mary?	1912	Charles Brabin	"Mary Fuller, Marc McDermott"		
When the Heart Calls	1912	Al Christie	"Lee Moran, Russell Bassett, Louise Glaum"	"Western, comedy"	
With the Mounted Police	1912		"William Garwood, Mignon Anderson"	Romantic thriller	
The Young Millionaire	1912		"Earle Foxe, Alice Joyce"	Drama	
The Adventures of Kathlyn	1913	Francis J. Grandon	Kathlyn Williams	Adventure serial	
American Born	1913		"Sydney Ayres, Harry von Meter, Charles Cummings"		
"Article 47, L'"	1913		"William Garwood, Victory Bateman, Howard Davies"		
Atlantis	1913				
Barney Oldfield's Race for a Life	1913	Mack Sennett	"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield"	Comedy	
Beautiful Bismark	1913		William Garwood	Drama	
Bianca	1913	Robert Thornby	George Cooper		
Bob's Baby	1913		Jean Acker	Comedy	
The Caged Bird	1913		"William Garwood, Marguerite Snow"		
Calamity Ann's Beauty	1913				
Calamity Ann's Dream	1913				
Calamity Anne's Inheritance	1913				
Calamity Ann's Vanity	1913				
"Calamity Ann, Heroine"	1913				
Cohen Saves the Flag	1913	Mack Sennett	"Ford Sterling, Mabel Normand"	Comedy	
The Cub Reporter's Temptation	1913		"Earle Foxe, Alice Joyce, Tom Moore"	Drama	
Cupid in a Dental Parlor	1913	Henry Lehrman	Fred Mace	Comedy	Unconfirmed appearance of Harold Lloyd
A Desperate Chance	1913	Kenean Buel	"Earle Foxe, Alie Hollister, Robert G. Vignola, Helen Lidroth, Miriam Cooper"	Drama	
Dr. Jekyll and Mr. Hyde	1913	Herbert Brenon and Carl Laemmle	King Baggot	Horror	
The Evidence of the Film	1913	"Lawrence Marston, Edwin Thanhouser"	"William Garwood, Marie Eline"	Crime	
The Face at the Window	1913		"Earle Foxe, Irene Boyle, Stuart Holmes"	Drama	
His Chum the Baron	1913	Mack Sennett	Ford Sterling	Comedy	Unconfirmed appearance of Harold Lloyd
Hulda of the Netherlands	1913				
Hurricane in Galveston	1913	King Vidor		Drama	Vidor's directional debut
In the Secret Service	1913	Henry MacRae	Charles Bartlett	Western	
A Little Hero	1913	George Nichols	"Mabel Normand, Harold Lloyd"	Comedy	
The Old Monk's Tale	1913	J. Searle Dawley	Ben F. Wilson	Drama	First known appearance of Harold Lloyd
The Quakeress	1913	Raymond B. West	Louise Glaum	Drama	
Rory o' the Bogs	1913	J. Farrell MacDonald	J. Warren Kerrigan		
The Twelfth Juror	1913	George Lessey	Ben F. Wilson	Drama	
The Amateur Detective	1914	Carroll Fleming	"Carey L. Hastings, Ernest C. Warde, Muriel Ostriche"	Comedy	
The Archeologist	1914	Henry Otto	"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood, John Steppling"		
At the Potter's Wheel	1914	Lorimer Johnston	"Charlotte Burton, Sydney Ayres, Caroline Frances Cooke, Louise Lester, Jack Richardson, Vivian Rich"		
The Avenging Conscience	1914	D. W. Griffith	"Henry B. Walthall, Blanche Sweet"	"Drama, Horror"	
Back to the Farm	1914	Oliver Hardy	"Herbert Tracey, Royal Byron, Eloise Willard, Mabel Paige, Oliver Hardy"		
The Baggage Smasher	1914		Fatty Arbuckle	Comedy	
The Bargain	1914	Reginald Barker	"William S. Hart, J. Barney Sherry, Clara Williams"	Western	Added to the National Film Registry in 2010
Barnyard Flirtations	1914	Fatty Arbuckle	Fatty Arbuckle	Comedy	
A Bath House Beauty	1914	Fatty Arbuckle	Fatty Arbuckle	Comedy	
The Beggar Child	1914	William Desmond Taylor	"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood, John Steppling"		
Between Showers	1914	Henry Lehrman	"Charlie Chaplin, Ford Sterling, Chester Conklin"		Filmed at Keystone Studios
Billy's Rival	1914	William Desmond Taylor	"William Garwood, Louise Lester, Jack Richardson, Vivian Rich. Harry von Meter"		
A Blowout at Santa Banana	1914		"Charlotte Burton, Sydney Ayres, Louise Lester, Jack Richardson"	Comedy	
The Body in the Trunk	1914	John O'Brien	"William Garwood, George Larkin"		
"Break, Break, Break"	1914	Harry A. Pollard	"B. Reeves Eason, William Garwood, Louise Lester, Jack Richardson, Vivian Rich, Harry von Meter"	Drama	
Brewster's Millions	1914	"Oscar Apfel, Cecil B. DeMille"	"Edward Abeles, Sydney Deane, Joseph Singleton"	Comedy	
Brute Force	1914	D. W. Griffith	"Robert Harron, Mae Marsh, William J. Butler, Wilfred Lucas"	Drama	
Business Versus Love	1914	Tom Ricketts	"Edward Coxen, Winifred Greenwood, Harry von Meter, Jack Richardson"		
A Busy Day	1914	Charlie Chaplin	"Charlie Chaplin, Mack Swain, Phyllis Allen"	Comedy	With a cameo by Mack Sennett
The Butterfly	1914	Tom Ricketts	"Charlotte Burton, George Field, Edward Coxen, Edith Borella, Jean Durrell, Ida Lewis, John Steppling"		
Calamity Anne's Love Affair	1914	Tom Ricketts	"Charlotte Burton, Louise Lester, George Field, Edith Borella, B. Reeves Eason"	Western	The final film in the Calamity Anne series
The Call of the Traumerei	1914	Jacques Jaccard and Lorimer Johnston	"Charlotte Burton, Sydney Ayres, Caroline Frances Cooke, Jack Richardson"		
The Cameo of the Yellowstone	1914	Sydney Ayres	"William Garwood, Harry De Vere, Louise Lester"	Western	
Captain Alvarez	1914	Rollin S. Sturgeon	"Edith Storey, William Desmond Taylor, George Holt"	Historical Drama	A Vitagraph 5-reel film
Caught in a Cabaret	1914	Mabel Normand	"Charlie Chaplin, Mabel Normand, Edgar Kennedy"	Comedy	
Caught in the Rain	1914	Charlie Chaplin	"Charlie Chaplin, Mack Swain, Alice Davenport"	Comedy	The first of many films that Charlie Chaplin both directed and starred in
The Certainty of Man	1914		"Charlotte Burton, Sydney Ayres, Chick Morrison"		
Cinderella	1914	James Kirkwood	"Mary Pickford, Owen Moore, Isobel Vernon"	Fantasy Drama	
The Cocoon and the Butterfly	1914	Sydney Ayres	"William Garwood, Louise Lester"		
The Combination of the Safe	1914	Francis J. Grandon	Earle Foxe	Crime drama	
The Coming of the Padres	1914	Lorimer Johnston	"Sydney Ayres, Perry Banks, Louise Lester"		
"Cruel, Cruel Love"	1914	George Nichols and Mack Sennett	"Charlie Chaplin, Edgar Kennedy, Minta Durfee"	Comedy	
Damaged Goods	1914	Tom Ricketts and Richard Bennett	"Richard Bennett, Adrienne Morrison, Maude Milton"		
David Gray's Estate	1914		"Charlotte Burton, Sydney Ayres, Chick Morrison"		
Destinies Fulfilled	1914	Allan Dwan	"Charlotte Burton, Sydney Ayres, Jacques Jaccard, Violet Knights"	Comedy	
Does It End Right?	1914	Sydney Ayres	"William Garwood, Charlotte Burton, Louise Lester, Vivian Rich"		
